folder,id,generation,fitness,detection_proportion,reid_precision,confidence_threshold,max_cosine_distance,scale_factor,brightness,contrast
Person10,1,0,0.6989830508474576,0.8983050847457628,0.2,0.5,0.2,1.0,1.0,1.0
Person5,1,0,0.6811188811188811,0.9230769230769231,0.09090909090909091,0.5,0.2,1.0,1.0,1.0
Person2,1,0,0.6769230769230768,0.8901098901098901,0.14285714285714285,0.5,0.2,1.0,1.0,1.0
Person3,1,0,0.6461916461916462,0.8648648648648649,0.09090909090909091,0.5,0.2,1.0,1.0,1.0
Person4,1,0,0.6807692307692308,0.8846153846153846,0.16666666666666666,0.5,0.2,1.0,1.0,1.0
Person1,1,0,0.6638888888888888,0.8148148148148148,0.25,0.5,0.2,1.0,1.0,1.0
Person6,1,0,0.7302238805970148,0.9253731343283582,0.25,0.5,0.2,1.0,1.0,1.0
Person8,1,0,0.6583501006036216,0.8591549295774648,0.14285714285714285,0.5,0.2,1.0,1.0,1.0
Person9,1,0,0.6576923076923077,0.8461538461538461,0.16666666666666666,0.5,0.2,1.0,1.0,1.0
Person7,1,0,0.7139414802065404,0.9518072289156626,0.14285714285714285,0.5,0.2,1.0,1.0,1.0
Person10,2,0,0.6889830508474577,0.8983050847457628,0.16666666666666666,0.5229735202536243,0.10684832034389818,1.9879011885888125,30.81006063416733,0.9565585008631041
